X,Y,id,snl2,XCOORD,YCOORD,x
-185081.630293571623042,-2325794.063883959315717,0,,-185081.630294,-2325794.063884,-185081.6302935716
-185058.109245519415708,-2325782.68273167591542,0,,-185058.109246,-2325782.682732,-185058.1092455194
-185038.381914894969668,-2325772.819066363852471,0,,-185038.381915,-2325772.819066,-185038.3819148950
-185020.930814727209508,-2325765.990374993532896,0,,-185020.930815,-2325765.990375,-185020.9308147272
-185006.514688501658384,-2325759.920427109114826,0,,-185006.514689,-2325759.920427,-185006.5146885017
-184991.339818790555,-2325752.332992253825068,0,,-184991.339819,-2325752.332992,-184991.3398187906
-184976.923692565003876,-2325746.263044369406998,0,,-184976.923693,-2325746.263044,-184976.9236925650
-184961.748822853900492,-2325740.193096484988928,0,,-184961.748823,-2325740.193096,-184961.7488228539
-184949.608927085006144,-2325734.881892086006701,0,,-184949.608927,-2325734.881892,-184949.6089270850
-184941.262748743902193,-2325724.259483288042247,0,,-184941.262749,-2325724.259483,-184941.2627487439
-184932.916570402798243,-2325713.637074490543455,0,,-184932.916570,-2325713.637074,-184932.9165704028
-184923.052905090589775,-2325705.290896149352193,0,,-184923.052905,-2325705.290896,-184923.0529050906
-184907.878035379486391,-2325699.979691750369966,0,,-184907.878035,-2325699.979692,-184907.8780353795
-184894.220652639487525,-2325693.151000380516052,0,,-184894.220653,-2325693.151000,-184894.2206526395
-184883.598243841697695,-2325687.839795981533825,0,,-184883.598244,-2325687.839796,-184883.5982438417
-184870.699604587280191,-2325684.046078553888947,0,,-184870.699605,-2325684.046079,-184870.6996045873
-184853.248504419490928,-2325681.011104611679912,0,,-184853.248504,-2325681.011105,-184853.2485044195
-184843.38483910728246,-2325681.011104611679912,0,,-184843.384839,-2325681.011105,-184843.3848391073
-184832.003686823969474,-2325679.493617640342563,0,,-184832.003687,-2325679.493618,-184832.0036868240
-184819.863791055075126,-2325678.73487415490672,0,,-184819.863791,-2325678.734874,-184819.8637910551
-184807.723895286180777,-2325677.217387183569372,0,,-184807.723895,-2325677.217387,-184807.7238952862
-184797.917369915463496,-2325673.60309073375538,,,-184797.917370,-2325673.603091,-184797.9173699155
-184790.421577534405515,-2325670.44696762599051,,,-184790.421578,-2325670.446968,-184790.4215775344
-184782.531269764847821,-2325668.474390683695674,,,-184782.531270,-2325668.474391,-184782.5312697649
-184774.64096199531923,-2325667.29084451822564,,,-184774.640962,-2325667.290845,-184774.6409619953
-184764.383561894937884,-2325665.712782964110374,,,-184764.383562,-2325665.712783,-184764.3835618950
-184755.309707959968364,-2325665.712782964110374,,,-184755.309708,-2325665.712783,-184755.3097079600
-184744.263277082616696,-2325665.712782964110374,,,-184744.263277,-2325665.712783,-184744.2632770826
-184735.978453924588393,-2325665.318267575930804,,,-184735.978454,-2325665.318268,-184735.9784539246
-184723.353961493325187,-2325666.107298352755606,,,-184723.353961,-2325666.107298,-184723.3539614933
-184714.280107558355667,-2325666.501813740935177,,,-184714.280108,-2325666.501814,-184714.2801075584
-184702.444645904033678,-2325666.896329129580408,,,-184702.444646,-2325666.896329,-184702.4446459040
-184693.370791969064157,-2325667.68535990640521,,,-184693.370792,-2325667.685360,-184693.3707919691
-184685.085968811064959,-2325668.474390683695674,,,-184685.085969,-2325668.474391,-184685.0859688111
-184673.645022545213578,-2325669.263421460520476,,,-184673.645023,-2325669.263421,-184673.6450225452
-184665.360199387214379,-2325668.474390683695674,,,-184665.360199,-2325668.474391,-184665.3601993872
-184658.258922394627007,-2325667.68535990640521,,,-184658.258922,-2325667.685360,-184658.2589223946
-184649.974099236598704,-2325664.923752187285572,,,-184649.974099,-2325664.923752,-184649.9740992366
-184643.26733763248194,-2325662.162144467700273,,,-184643.267338,-2325662.162144,-184643.2673376325
-184634.034875665267464,-2325656.88571146922186,,,-184634.034876,-2325656.885711,-184634.0348756653
-184626.002800772665069,-2325653.578386513516307,,,-184626.002801,-2325653.578387,-184626.0028007727
-184618.443200873734895,-2325648.853636576794088,,,-184618.443201,-2325648.853637,-184618.4432008737
-184610.411125981103396,-2325643.656411645933986,,,-184610.411126,-2325643.656412,-184610.4111259811
-184603.324001075874548,-2325638.931661709211767,,,-184603.324001,-2325638.931662,-184603.3240010759
-184596.709351164288819,-2325634.67938676616177,,,-184596.709351,-2325634.679387,-184596.7093511643
-184590.094701252732193,-2325632.31701179780066,,,-184590.094701,-2325632.317012,-184590.0947012527
-184581.590151366428472,-2325629.482161835767329,,,-184581.590151,-2325629.482162,-184581.5901513664
-184576.865401429589838,-2325626.647311873733997,,,-184576.865401,-2325626.647312,-184576.8654014296
-184571.668176499078982,-2325624.284936905372888,,,-184571.668176,-2325624.284937,-184571.6681764991
-184562.691151619103039,-2325620.505136955529451,,,-184562.691152,-2325620.505137,-184562.6911516191
-184555.604026713845087,-2325617.67028699349612,,,-184555.604027,-2325617.670287,-184555.6040267139
-184547.756927053909749,-2325614.38072702800855,,,-184547.756927,-2325614.380727,-184547.7569270539
-184541.316893539915327,-2325613.244250525254756,,,-184541.316894,-2325613.244251,-184541.3168935399
-184534.498034525109688,-2325611.728948521893471,,,-184534.498035,-2325611.728949,-184534.4980345251
-184523.890920502046356,-2325610.592472019605339,,,-184523.890921,-2325610.592472,-184523.8909205021
-184518.58736349051469,-2325608.698344515636563,,,-184518.587363,-2325608.698345,-184518.5873634905
-184511.010853474028409,-2325606.425391510594636,,,-184511.010853,-2325606.425392,-184511.0108534740
-184501.161390452616615,-2325604.152438505552709,,,-184501.161390,-2325604.152439,-184501.1613904526
-184493.20605493534822,-2325602.258311001583934,,,-184493.206055,-2325602.258311,-184493.2060549354
-184483.735417414747644,-2325599.606532495468855,,,-184483.735417,-2325599.606532,-184483.7354174148
-184477.295383900753222,-2325596.197102988138795,,,-184477.295384,-2325596.197103,-184477.2953839008
-184469.340048383455724,-2325593.545324482489377,,,-184469.340048,-2325593.545324,-184469.3400483835
-184461.763538366969442,-2325592.030022479128093,,,-184461.763538,-2325592.030022,-184461.7635383670
-184454.187028350512264,-2325590.514720475766808,,,-184454.187028,-2325590.514720,-184454.1870283505
-184447.746994836517842,-2325588.241767471190542,,,-184447.746995,-2325588.241767,-184447.7469948365
-184439.034008317568805,-2325584.832337963394821,,,-184439.034008,-2325584.832338,-184439.0340083176
-184432.687378339789575,-2325581.390124516095966,,,-184432.687378,-2325581.390125,-184432.6873783398
-184426.671302006638143,-2325579.539024106226861,,,-184426.671302,-2325579.539024,-184426.6713020067
-184419.72967546840664,-2325579.076249003410339,,,-184419.729675,-2325579.076249,-184419.7296754684
-184412.788048930175137,-2325576.762373490724713,,,-184412.788049,-2325576.762373,-184412.7880489302
-184405.383647289389046,-2325574.911273080389947,,,-184405.383647,-2325574.911273,-184405.3836472894
-184398.90479585371213,-2325572.134622465353459,,,-184398.904796,-2325572.134622,-184398.9047958537
